instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
221417733,864913,BANKEX2481962900PE,BANKEX,0,2024-08-19,62900.0,0.05,15,PE,BFO-OPT,BFO
221431813,864968,BANKEX2481962900CE,BANKEX,0,2024-08-19,62900.0,0.05,15,CE,BFO-OPT,BFO
221466629,865104,BANKEX2481962800CE,BANKEX,0,2024-08-19,62800.0,0.05,15,CE,BFO-OPT,BFO
221618437,865697,BANKEX2481962800PE,BANKEX,0,2024-08-19,62800.0,0.05,15,PE,BFO-OPT,BFO
221525253,865333,BANKEX2481962700PE,BANKEX,0,2024-08-19,62700.0,0.05,15,PE,BFO-OPT,BFO
221667589,865889,BANKEX2481962700CE,BANKEX,0,2024-08-19,62700.0,0.05,15,CE,BFO-OPT,BFO
221404421,864861,BANKEX2481962600CE,BANKEX,0,2024-08-19,62600.0,0.05,15,CE,BFO-OPT,BFO
221559557,865467,BANKEX2481962600PE,BANKEX,0,2024-08-19,62600.0,0.05,15,PE,BFO-OPT,BFO
221460485,865080,BANKEX2481962500PE,BANKEX,0,2024-08-19,62500.0,0.05,15,PE,BFO-OPT,BFO
221609733,865663,BANKEX2481962500CE,BANKEX,0,2024-08-19,62500.0,0.05,15,CE,BFO-OPT,BFO
221501189,865239,BANKEX2481962400PE,BANKEX,0,2024-08-19,62400.0,0.05,15,PE,BFO-OPT,BFO
221643781,865796,BANKEX2481962400CE,BANKEX,0,2024-08-19,62400.0,0.05,15,CE,BFO-OPT,BFO
221399045,864840,BANKEX2481962300PE,BANKEX,0,2024-08-19,62300.0,0.05,15,PE,BFO-OPT,BFO
221550853,865433,BANKEX2481962300CE,BANKEX,0,2024-08-19,62300.0,0.05,15,CE,BFO-OPT,BFO
221435397,864982,BANKEX2481962200PE,BANKEX,0,2024-08-19,62200.0,0.05,15,PE,BFO-OPT,BFO
221449221,865036,BANKEX2481962200CE,BANKEX,0,2024-08-19,62200.0,0.05,15,CE,BFO-OPT,BFO
221490693,865198,BANKEX2481962100CE,BANKEX,0,2024-08-19,62100.0,0.05,15,CE,BFO-OPT,BFO
221637381,865771,BANKEX2481962100PE,BANKEX,0,2024-08-19,62100.0,0.05,15,PE,BFO-OPT,BFO
221544197,865407,BANKEX2481962000PE,BANKEX,0,2024-08-19,62000.0,0.05,15,PE,BFO-OPT,BFO
221686789,865964,BANKEX2481962000CE,BANKEX,0,2024-08-19,62000.0,0.05,15,CE,BFO-OPT,BFO
221506309,865259,BANKEX2481961900PE,BANKEX,0,2024-08-19,61900.0,0.05,15,PE,BFO-OPT,BFO
221649157,865817,BANKEX2481961900CE,BANKEX,0,2024-08-19,61900.0,0.05,15,CE,BFO-OPT,BFO
221542661,865401,BANKEX2481961800PE,BANKEX,0,2024-08-19,61800.0,0.05,15,PE,BFO-OPT,BFO
221683973,865953,BANKEX2481961800CE,BANKEX,0,2024-08-19,61800.0,0.05,15,CE,BFO-OPT,BFO
221440773,865003,BANKEX2481961700PE,BANKEX,0,2024-08-19,61700.0,0.05,15,PE,BFO-OPT,BFO
221591045,865590,BANKEX2481961700CE,BANKEX,0,2024-08-19,61700.0,0.05,15,CE,BFO-OPT,BFO
221481989,865164,BANKEX2481961600PE,BANKEX,0,2024-08-19,61600.0,0.05,15,PE,BFO-OPT,BFO
221623813,865718,BANKEX2481961600CE,BANKEX,0,2024-08-19,61600.0,0.05,15,CE,BFO-OPT,BFO
221530373,865353,BANKEX2481961500CE,BANKEX,0,2024-08-19,61500.0,0.05,15,CE,BFO-OPT,BFO
221679109,865934,BANKEX2481961500PE,BANKEX,0,2024-08-19,61500.0,0.05,15,PE,BFO-OPT,BFO
221418245,864915,BANKEX2481961400PE,BANKEX,0,2024-08-19,61400.0,0.05,15,PE,BFO-OPT,BFO
221432325,864970,BANKEX2481961400CE,BANKEX,0,2024-08-19,61400.0,0.05,15,CE,BFO-OPT,BFO
221468165,865110,BANKEX2481961300CE,BANKEX,0,2024-08-19,61300.0,0.05,15,CE,BFO-OPT,BFO
221618949,865699,BANKEX2481961300PE,BANKEX,0,2024-08-19,61300.0,0.05,15,PE,BFO-OPT,BFO
221526021,865336,BANKEX2481961200PE,BANKEX,0,2024-08-19,61200.0,0.05,15,PE,BFO-OPT,BFO
221668357,865892,BANKEX2481961200CE,BANKEX,0,2024-08-19,61200.0,0.05,15,CE,BFO-OPT,BFO
221404933,864863,BANKEX2481961100CE,BANKEX,0,2024-08-19,61100.0,0.05,15,CE,BFO-OPT,BFO
221560325,865470,BANKEX2481961100PE,BANKEX,0,2024-08-19,61100.0,0.05,15,PE,BFO-OPT,BFO
221461253,865083,BANKEX2481961000PE,BANKEX,0,2024-08-19,61000.0,0.05,15,PE,BFO-OPT,BFO
221610245,865665,BANKEX2481961000CE,BANKEX,0,2024-08-19,61000.0,0.05,15,CE,BFO-OPT,BFO
221422853,864933,BANKEX2481960900PE,BANKEX,0,2024-08-19,60900.0,0.05,15,PE,BFO-OPT,BFO
221572613,865518,BANKEX2481960900CE,BANKEX,0,2024-08-19,60900.0,0.05,15,CE,BFO-OPT,BFO
221459205,865075,BANKEX2481960800PE,BANKEX,0,2024-08-19,60800.0,0.05,15,PE,BFO-OPT,BFO
221608197,865657,BANKEX2481960800CE,BANKEX,0,2024-08-19,60800.0,0.05,15,CE,BFO-OPT,BFO
221511173,865278,BANKEX2481960700CE,BANKEX,0,2024-08-19,60700.0,0.05,15,CE,BFO-OPT,BFO
221658373,865853,BANKEX2481960700PE,BANKEX,0,2024-08-19,60700.0,0.05,15,PE,BFO-OPT,BFO
221396741,864831,BANKEX2481960600PE,BANKEX,0,2024-08-19,60600.0,0.05,15,PE,BFO-OPT,BFO
221412613,864893,BANKEX2481960600CE,BANKEX,0,2024-08-19,60600.0,0.05,15,CE,BFO-OPT,BFO
221446405,865025,BANKEX2481960500CE,BANKEX,0,2024-08-19,60500.0,0.05,15,CE,BFO-OPT,BFO
221603845,865640,BANKEX2481960500PE,BANKEX,0,2024-08-19,60500.0,0.05,15,PE,BFO-OPT,BFO
221506821,865261,BANKEX2481960400PE,BANKEX,0,2024-08-19,60400.0,0.05,15,PE,BFO-OPT,BFO
221649669,865819,BANKEX2481960400CE,BANKEX,0,2024-08-19,60400.0,0.05,15,CE,BFO-OPT,BFO
221543429,865404,BANKEX2481960300PE,BANKEX,0,2024-08-19,60300.0,0.05,15,PE,BFO-OPT,BFO
221684741,865956,BANKEX2481960300CE,BANKEX,0,2024-08-19,60300.0,0.05,15,CE,BFO-OPT,BFO
221441285,865005,BANKEX2481960200PE,BANKEX,0,2024-08-19,60200.0,0.05,15,PE,BFO-OPT,BFO
221592325,865595,BANKEX2481960200CE,BANKEX,0,2024-08-19,60200.0,0.05,15,CE,BFO-OPT,BFO
221482757,865167,BANKEX2481960100PE,BANKEX,0,2024-08-19,60100.0,0.05,15,PE,BFO-OPT,BFO
221497605,865225,BANKEX2481960100CE,BANKEX,0,2024-08-19,60100.0,0.05,15,CE,BFO-OPT,BFO
221531909,865359,BANKEX2481960000CE,BANKEX,0,2024-08-19,60000.0,0.05,15,CE,BFO-OPT,BFO
221679365,865935,BANKEX2481960000PE,BANKEX,0,2024-08-19,60000.0,0.05,15,PE,BFO-OPT,BFO
221529093,865348,BANKEX2481959900PE,BANKEX,0,2024-08-19,59900.0,0.05,15,PE,BFO-OPT,BFO
221671173,865903,BANKEX2481959900CE,BANKEX,0,2024-08-19,59900.0,0.05,15,CE,BFO-OPT,BFO
221564421,865486,BANKEX2481959800PE,BANKEX,0,2024-08-19,59800.0,0.05,15,PE,BFO-OPT,BFO
221579781,865546,BANKEX2481959800CE,BANKEX,0,2024-08-19,59800.0,0.05,15,CE,BFO-OPT,BFO
221464581,865096,BANKEX2481959700PE,BANKEX,0,2024-08-19,59700.0,0.05,15,PE,BFO-OPT,BFO
221613061,865676,BANKEX2481959700CE,BANKEX,0,2024-08-19,59700.0,0.05,15,CE,BFO-OPT,BFO
221517573,865303,BANKEX2481959600CE,BANKEX,0,2024-08-19,59600.0,0.05,15,CE,BFO-OPT,BFO
221665285,865880,BANKEX2481959600PE,BANKEX,0,2024-08-19,59600.0,0.05,15,PE,BFO-OPT,BFO
221402885,864855,BANKEX2481959500PE,BANKEX,0,2024-08-19,59500.0,0.05,15,PE,BFO-OPT,BFO
221553925,865445,BANKEX2481959500CE,BANKEX,0,2024-08-19,59500.0,0.05,15,CE,BFO-OPT,BFO
221453829,865054,BANKEX2481959400CE,BANKEX,0,2024-08-19,59400.0,0.05,15,CE,BFO-OPT,BFO
221609221,865661,BANKEX2481959400PE,BANKEX,0,2024-08-19,59400.0,0.05,15,PE,BFO-OPT,BFO
221642501,865791,BANKEX2481959300PE,BANKEX,0,2024-08-19,59300.0,0.05,15,PE,BFO-OPT,BFO
221656581,865846,BANKEX2481959300CE,BANKEX,0,2024-08-19,59300.0,0.05,15,CE,BFO-OPT,BFO
221548549,865424,BANKEX2481959200PE,BANKEX,0,2024-08-19,59200.0,0.05,15,PE,BFO-OPT,BFO
221689861,865976,BANKEX2481959200CE,BANKEX,0,2024-08-19,59200.0,0.05,15,CE,BFO-OPT,BFO
221446917,865027,BANKEX2481959100PE,BANKEX,0,2024-08-19,59100.0,0.05,15,PE,BFO-OPT,BFO
221599237,865622,BANKEX2481959100CE,BANKEX,0,2024-08-19,59100.0,0.05,15,CE,BFO-OPT,BFO
221489413,865193,BANKEX2481959000PE,BANKEX,0,2024-08-19,59000.0,0.05,15,PE,BFO-OPT,BFO
221629957,865742,BANKEX2481959000CE,BANKEX,0,2024-08-19,59000.0,0.05,15,CE,BFO-OPT,BFO
221444613,865018,BANKEX2481958900PE,BANKEX,0,2024-08-19,58900.0,0.05,15,PE,BFO-OPT,BFO
221595909,865609,BANKEX2481958900CE,BANKEX,0,2024-08-19,58900.0,0.05,15,CE,BFO-OPT,BFO
221499909,865234,BANKEX2481958800CE,BANKEX,0,2024-08-19,58800.0,0.05,15,CE,BFO-OPT,BFO
221647877,865812,BANKEX2481958800PE,BANKEX,0,2024-08-19,58800.0,0.05,15,PE,BFO-OPT,BFO
221535237,865372,BANKEX2481958700CE,BANKEX,0,2024-08-19,58700.0,0.05,15,CE,BFO-OPT,BFO
221681925,865945,BANKEX2481958700PE,BANKEX,0,2024-08-19,58700.0,0.05,15,PE,BFO-OPT,BFO
221434373,864978,BANKEX2481958600CE,BANKEX,0,2024-08-19,58600.0,0.05,15,CE,BFO-OPT,BFO
221589509,865584,BANKEX2481958600PE,BANKEX,0,2024-08-19,58600.0,0.05,15,PE,BFO-OPT,BFO
221622789,865714,BANKEX2481958500PE,BANKEX,0,2024-08-19,58500.0,0.05,15,PE,BFO-OPT,BFO
221636357,865767,BANKEX2481958500CE,BANKEX,0,2024-08-19,58500.0,0.05,15,CE,BFO-OPT,BFO
221529605,865350,BANKEX2481958400PE,BANKEX,0,2024-08-19,58400.0,0.05,15,PE,BFO-OPT,BFO
221495557,865217,BANKEX2481956800PE,BANKEX,0,2024-08-19,56800.0,0.05,15,PE,BFO-OPT,BFO
221633285,865755,BANKEX2481956800CE,BANKEX,0,2024-08-19,56800.0,0.05,15,CE,BFO-OPT,BFO
221541893,865398,BANKEX2481956700CE,BANKEX,0,2024-08-19,56700.0,0.05,15,CE,BFO-OPT,BFO
221689605,865975,BANKEX2481956700PE,BANKEX,0,2024-08-19,56700.0,0.05,15,PE,BFO-OPT,BFO
221428997,864957,BANKEX2481956600PE,BANKEX,0,2024-08-19,56600.0,0.05,15,PE,BFO-OPT,BFO
221576709,865534,BANKEX2481956600CE,BANKEX,0,2024-08-19,56600.0,0.05,15,CE,BFO-OPT,BFO
221481477,865162,BANKEX2481956500CE,BANKEX,0,2024-08-19,56500.0,0.05,15,CE,BFO-OPT,BFO
221627909,865734,BANKEX2481956500PE,BANKEX,0,2024-08-19,56500.0,0.05,15,PE,BFO-OPT,BFO
221663749,865874,BANKEX2481956400PE,BANKEX,0,2024-08-19,56400.0,0.05,15,PE,BFO-OPT,BFO
221678853,865933,BANKEX2481956400CE,BANKEX,0,2024-08-19,56400.0,0.05,15,CE,BFO-OPT,BFO
221417989,864914,BANKEX2481956300CE,BANKEX,0,2024-08-19,56300.0,0.05,15,CE,BFO-OPT,BFO
221572101,865516,BANKEX2481956300PE,BANKEX,0,2024-08-19,56300.0,0.05,15,PE,BFO-OPT,BFO
221475333,865138,BANKEX2481956200PE,BANKEX,0,2024-08-19,56200.0,0.05,15,PE,BFO-OPT,BFO
221618693,865698,BANKEX2481956200CE,BANKEX,0,2024-08-19,56200.0,0.05,15,CE,BFO-OPT,BFO
221510661,865276,BANKEX2481956100PE,BANKEX,0,2024-08-19,56100.0,0.05,15,PE,BFO-OPT,BFO
221655557,865842,BANKEX2481956100CE,BANKEX,0,2024-08-19,56100.0,0.05,15,CE,BFO-OPT,BFO
221411845,864890,BANKEX2481956000PE,BANKEX,0,2024-08-19,56000.0,0.05,15,PE,BFO-OPT,BFO
221559813,865468,BANKEX2481956000CE,BANKEX,0,2024-08-19,56000.0,0.05,15,CE,BFO-OPT,BFO
221523717,865327,BANKEX2481955900CE,BANKEX,0,2024-08-19,55900.0,0.05,15,CE,BFO-OPT,BFO
221670405,865900,BANKEX2481955900PE,BANKEX,0,2024-08-19,55900.0,0.05,15,PE,BFO-OPT,BFO
221708549,866049,BANKEX2481955800PE,BANKEX,0,2024-08-19,55800.0,0.05,15,PE,BFO-OPT,BFO
221761029,866254,BANKEX2481955800CE,BANKEX,0,2024-08-19,55800.0,0.05,15,CE,BFO-OPT,BFO
221728005,866125,BANKEX2481955700CE,BANKEX,0,2024-08-19,55700.0,0.05,15,CE,BFO-OPT,BFO
221782533,866338,BANKEX2481955700PE,BANKEX,0,2024-08-19,55700.0,0.05,15,PE,BFO-OPT,BFO
221798149,866399,BANKEX2481955600PE,BANKEX,0,2024-08-19,55600.0,0.05,15,PE,BFO-OPT,BFO
221803013,866418,BANKEX2481955600CE,BANKEX,0,2024-08-19,55600.0,0.05,15,CE,BFO-OPT,BFO
221701125,866020,BANKEX2481955500CE,BANKEX,0,2024-08-19,55500.0,0.05,15,CE,BFO-OPT,BFO
221760261,866251,BANKEX2481955500PE,BANKEX,0,2024-08-19,55500.0,0.05,15,PE,BFO-OPT,BFO
221725445,866115,BANKEX2481955400PE,BANKEX,0,2024-08-19,55400.0,0.05,15,PE,BFO-OPT,BFO
221778181,866321,BANKEX2481955400CE,BANKEX,0,2024-08-19,55400.0,0.05,15,CE,BFO-OPT,BFO
221740549,866174,BANKEX2481955300PE,BANKEX,0,2024-08-19,55300.0,0.05,15,PE,BFO-OPT,BFO
221792261,866376,BANKEX2481955300CE,BANKEX,0,2024-08-19,55300.0,0.05,15,CE,BFO-OPT,BFO
282542085,1103680,BANKEX2481955200CE,BANKEX,0,2024-08-19,55200.0,0.05,15,CE,BFO-OPT,BFO
282605829,1103929,BANKEX2481955200PE,BANKEX,0,2024-08-19,55200.0,0.05,15,PE,BFO-OPT,BFO
282485253,1103458,BANKEX2481955100PE,BANKEX,0,2024-08-19,55100.0,0.05,15,PE,BFO-OPT,BFO
282554885,1103730,BANKEX2481955100CE,BANKEX,0,2024-08-19,55100.0,0.05,15,CE,BFO-OPT,BFO
282516741,1103581,BANKEX2481955000CE,BANKEX,0,2024-08-19,55000.0,0.05,15,CE,BFO-OPT,BFO
282584069,1103844,BANKEX2481955000PE,BANKEX,0,2024-08-19,55000.0,0.05,15,PE,BFO-OPT,BFO
282497541,1103506,BANKEX2481954900CE,BANKEX,0,2024-08-19,54900.0,0.05,15,CE,BFO-OPT,BFO
282567429,1103779,BANKEX2481954900PE,BANKEX,0,2024-08-19,54900.0,0.05,15,PE,BFO-OPT,BFO
282580997,1103832,BANKEX2481954800PE,BANKEX,0,2024-08-19,54800.0,0.05,15,PE,BFO-OPT,BFO
282588165,1103860,BANKEX2481954800CE,BANKEX,0,2024-08-19,54800.0,0.05,15,CE,BFO-OPT,BFO
282707461,1104326,BANKEX2481954700PE,BANKEX,0,2024-08-19,54700.0,0.05,15,PE,BFO-OPT,BFO
282808837,1104722,BANKEX2481954700CE,BANKEX,0,2024-08-19,54700.0,0.05,15,CE,BFO-OPT,BFO
282639877,1104062,BANKEX2481954600PE,BANKEX,0,2024-08-19,54600.0,0.05,15,PE,BFO-OPT,BFO
282744837,1104472,BANKEX2481954600CE,BANKEX,0,2024-08-19,54600.0,0.05,15,CE,BFO-OPT,BFO
282665221,1104161,BANKEX2481954500PE,BANKEX,0,2024-08-19,54500.0,0.05,15,PE,BFO-OPT,BFO
282768645,1104565,BANKEX2481954500CE,BANKEX,0,2024-08-19,54500.0,0.05,15,CE,BFO-OPT,BFO
282700805,1104300,BANKEX2481954400CE,BANKEX,0,2024-08-19,54400.0,0.05,15,CE,BFO-OPT,BFO
282802693,1104698,BANKEX2481954400PE,BANKEX,0,2024-08-19,54400.0,0.05,15,PE,BFO-OPT,BFO
282619397,1103982,BANKEX2481954300PE,BANKEX,0,2024-08-19,54300.0,0.05,15,PE,BFO-OPT,BFO
282630405,1104025,BANKEX2481954300CE,BANKEX,0,2024-08-19,54300.0,0.05,15,CE,BFO-OPT,BFO
282660613,1104143,BANKEX2481954200CE,BANKEX,0,2024-08-19,54200.0,0.05,15,CE,BFO-OPT,BFO
282763525,1104545,BANKEX2481954200PE,BANKEX,0,2024-08-19,54200.0,0.05,15,PE,BFO-OPT,BFO
282788357,1104642,BANKEX2481954100PE,BANKEX,0,2024-08-19,54100.0,0.05,15,PE,BFO-OPT,BFO
282795781,1104671,BANKEX2481954100CE,BANKEX,0,2024-08-19,54100.0,0.05,15,CE,BFO-OPT,BFO
283763973,1108453,BANKEX2481954000CE,BANKEX,0,2024-08-19,54000.0,0.05,15,CE,BFO-OPT,BFO
283917573,1109053,BANKEX2481954000PE,BANKEX,0,2024-08-19,54000.0,0.05,15,PE,BFO-OPT,BFO
